contributors_enabled,created_at,default_profile,default_profile_image,description,entities,favourites_count,follow_request_sent,followers_count,following,friends_count,geo_enabled,has_extended_profile,id,id_str,is_translation_enabled,is_translator,lang,listed_count,location,name,notifications,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_banner_url,profile_image_url,profile_image_url_https,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,protected,screen_name,statuses_count,time_zone,translator_type,url,utc_offset,verified,knownBot
False,Thu Mar 01 23:17:53 +0000 2007,False,False,Father. Husband. Online Marketer.,{'urls': []},1,False,241,False,118,False,False,804681,804681,False,False,en,13,"Scottsdale, AZ",Seth Nickerson,False,6B6463,http://pbs.twimg.com/profile_background_images/65013650/twitter_background3.jpg,https://pbs.twimg.com/profile_background_images/65013650/twitter_background3.jpg,False,,http://pbs.twimg.com/profile_images/849280628793024513/AvMVd1-z_normal.jpg,https://pbs.twimg.com/profile_images/849280628793024513/AvMVd1-z_normal.jpg,05417D,C9D9B2,FF850A,000000,True,False,SethNickerson,1657,Arizona,none,http://t.co/iTEC0hF6Qc,-25200,False,0
False,Wed Mar 21 20:18:33 +0000 2007,False,False,I'm now at Mastodon: https://t.co/tLrpZMszgg,"{'urls': [{'url': 'https://t.co/tLrpZMszgg', 'indices': [21, 44], 'expanded_url': 'https://mastodon.social/@mairin', 'display_url': 'mastodon.social/@mairin'}]}",6849,False,2049,False,423,False,False,1790831,1790831,False,False,en,131,"Boston, MA",Máirín Duffy,False,000000,http://abs.twimg.com/images/themes/theme13/bg.gif,https://abs.twimg.com/images/themes/theme13/bg.gif,False,https://pbs.twimg.com/profile_banners/1790831/1462469702,http://pbs.twimg.com/profile_images/904595930665639936/5WPQ-x9h_normal.png,https://pbs.twimg.com/profile_images/904595930665639936/5WPQ-x9h_normal.png,F5ABB5,000000,000000,000000,False,False,mairin,31,Eastern Time (US & Canada),none,http://blog.linuxgrrl.com,-14400,False,0
False,Tue Mar 27 04:04:34 +0000 2007,True,False,"writer, producer",{'urls': []},220,False,45,False,98,False,False,2400761,2400761,False,False,en,3,"Seattle, WA",Justin Alfstad,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/2400761/1380300718,http://pbs.twimg.com/profile_images/378800000515339692/626779c86199830b45660d6ff9c995fe_normal.jpeg,https://pbs.twimg.com/profile_images/378800000515339692/626779c86199830b45660d6ff9c995fe_normal.jpeg,1DA1F2,C0DEED,DDEEF6,333333,True,False,JustinAlfstad,368,Pacific Time (US & Canada),none,,-25200,False,0
False,Wed Mar 28 00:23:22 +0000 2007,False,False,Professor at Annenberg School for Communication USC,{'urls': []},1,False,29,False,32,True,False,2580041,2580041,False,False,en,0,LA,Margaret McLaughlin,False,9AE4E8,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,,http://pbs.twimg.com/profile_images/3189080005/5113952a00fef3342c74db5c3b4ccdc4_normal.jpeg,https://pbs.twimg.com/profile_images/3189080005/5113952a00fef3342c74db5c3b4ccdc4_normal.jpeg,0000FF,87BC44,E0FF92,000000,True,False,NJNEWITY,39,Pacific Time (US & Canada),none,,-25200,False,0
False,Wed Mar 28 06:01:33 +0000 2007,False,False,"Eating pixels, crapping fun. (Widgeteer at @Pinterest; if the Pin It button is busted, blame me.)",{'urls': []},8204,False,3325,False,4591,True,True,2622731,2622731,False,False,en,213,Runnymede Poultry Farm,Kent Brewster,False,F0ECD3,http://pbs.twimg.com/profile_background_images/147337065/cassette_explosion4_highres.png,https://pbs.twimg.com/profile_background_images/147337065/cassette_explosion4_highres.png,True,https://pbs.twimg.com/profile_banners/2622731/1401943819,http://pbs.twimg.com/profile_images/834286714558353408/2skpiwkV_normal.jpg,https://pbs.twimg.com/profile_images/834286714558353408/2skpiwkV_normal.jpg,46AED4,694E3F,FFFFFF,000000,False,False,kentbrew,23348,Pacific Time (US & Canada),regular,https://t.co/aueNed7eo2,-25200,False,0
False,Wed Apr 25 15:53:10 +0000 2007,False,False,Freiheit und Selbstbestimmung für mein Volk und alle Völker. Mit #QAnon gegen die Neue Weltordnung und #WhiteGenocide. 🥛🐸👌🏻,{'urls': []},31234,False,4234,False,4984,False,False,5501422,5501422,False,False,en,159,"USA, kleinere ausgelagerte Ins",Synelly🇩🇪,False,ABB8C2,http://pbs.twimg.com/profile_background_images/686532207977041922/eyzu0J8W.jpg,https://pbs.twimg.com/profile_background_images/686532207977041922/eyzu0J8W.jpg,False,https://pbs.twimg.com/profile_banners/5501422/1514729249,http://pbs.twimg.com/profile_images/865547473468534789/n7P5H3Av_normal.jpg,https://pbs.twimg.com/profile_images/865547473468534789/n7P5H3Av_normal.jpg,3B94D9,87BC44,E0FF92,000000,True,False,Synelly,130575,Mid-Atlantic,none,,-7200,False,0
False,Wed May 16 23:42:06 +0000 2007,False,False,Politics & satire. Dir Digital Research @Lake_Research;  SVP Digital Strategy @turner4D; Professor @JHUcomm @gspmGWU @AU_SPA; Board @edemo @subscriptlaw; #Tufts,{'urls': []},3027,False,41127,False,39758,False,True,6092972,6092972,False,False,en,1898,"Washington, DC",(((AlanRosenblatt))),False,9AE4E8,http://pbs.twimg.com/profile_background_images/3689808/catfish_are_jumpin_thin.jpg,https://pbs.twimg.com/profile_background_images/3689808/catfish_are_jumpin_thin.jpg,True,https://pbs.twimg.com/profile_banners/6092972/1488389298,http://pbs.twimg.com/profile_images/823630569556897792/ciZz_x1u_normal.jpg,https://pbs.twimg.com/profile_images/823630569556897792/ciZz_x1u_normal.jpg,DD2E44,444ABC,BFD3F7,000000,True,False,DrDigiPol,48688,Eastern Time (US & Canada),none,https://t.co/POWwSCjjl8,-14400,True,0
False,Wed May 23 14:35:01 +0000 2007,False,False,Curator of https://t.co/pmfBoe4klM Contributor to Vancouver Confidential: https://t.co/ZvQBlXfqOX #280characters or less,"{'urls': [{'url': 'https://t.co/pmfBoe4klM', 'indices': [11, 34], 'expanded_url': 'http://illustratedvancouver.ca', 'display_url': 'illustratedvancouver.ca'}, {'url': 'https://t.co/ZvQBlXfqOX', 'indices': [74, 97], 'expanded_url': 'http://www.anvilpress.com/Books/vancouver-confidential', 'display_url': 'anvilpress.com/Books/vancouve…'}]}",1855,False,1108,False,1134,True,False,6262932,6262932,False,False,en,97,"Vancouver, British Columbia",Jason M Vanderhill,False,C6E2EE,http://pbs.twimg.com/profile_background_images/63962767/new_cumuluscover.jpg,https://pbs.twimg.com/profile_background_images/63962767/new_cumuluscover.jpg,True,https://pbs.twimg.com/profile_banners/6262932/1405796370,http://pbs.twimg.com/profile_images/1072078437/twitter_normal.jpg,https://pbs.twimg.com/profile_images/1072078437/twitter_normal.jpg,1F98C7,C6E2EE,DAECF4,663B12,True,False,jmv,8806,Pacific Time (US & Canada),none,https://t.co/0UA6IYb5ZT,-25200,False,0
False,Thu Aug 02 10:36:06 +0000 2007,False,False,"Javascript Radical, Climate Activist, Feminist, Words. https://t.co/hx9YbdU4PN","{'urls': [{'url': 'https://t.co/hx9YbdU4PN', 'indices': [55, 78], 'expanded_url': 'http://my.pronoun.is/he/him', 'display_url': 'my.pronoun.is/he/him'}]}",21741,False,697,False,2458,True,True,7904622,7904622,False,False,en,20,"Sydney, New South Wales",Frederick Stark,False,B2DFDA,http://abs.twimg.com/images/themes/theme13/bg.gif,https://abs.twimg.com/images/themes/theme13/bg.gif,False,https://pbs.twimg.com/profile_banners/7904622/1403534835,http://pbs.twimg.com/profile_images/608413714098843648/E_QiLpjY_normal.jpg,https://pbs.twimg.com/profile_images/608413714098843648/E_QiLpjY_normal.jpg,3B94D9,EEEEEE,FFFFFF,333333,True,False,Coagmano,2426,Brisbane,none,,36000,False,0
False,Mon Aug 06 01:54:17 +0000 2007,False,False,🌇🏢 : {💻🤓✨} - @HATCX_HEALTH 🌃🏢 : [💧🐻🎲/👩🏽🎨]—¢🎣🏆|🐝🏆|👑|🔠✍️🏾⏳(@waterbeargames w/@CaraHeacock) 🎲📚🕵/🎲📐📝 (@Spielbound [-MR]) ⚡️🚘😍 👤: 😒🙄🤔😈🤐 🇺🇸🖖🏾,{'urls': []},445,False,1287,False,1225,True,True,7982372,7982372,False,False,en,76,"Omaha, Nebraska USA",Marcus Ross 🖖🏾,False,131516,http://pbs.twimg.com/profile_background_images/462292719641980929/577PTQ4I.jpeg,https://pbs.twimg.com/profile_background_images/462292719641980929/577PTQ4I.jpeg,False,https://pbs.twimg.com/profile_banners/7982372/1488303519,http://pbs.twimg.com/profile_images/771940127258079232/hJop6uk3_normal.jpg,https://pbs.twimg.com/profile_images/771940127258079232/hJop6uk3_normal.jpg,FAB81E,FFFFFF,EFEFEF,333333,True,False,MarcusRoss,11511,Central Time (US & Canada),none,,-18000,False,0
